1,2016,40811884,35666646,36731,0,2047165,502958,214134,158030,5108508,2922287,2186221
2,2016,38110769,33450957,34300,0,1758686,425101,194572,123904,4625513,2502264,2123249
3,2016,43641598,37920394,39277,0,2289181,545313,220192,155046,5681927,3209732,2472195
4,2016,43413963,37514463,39073,0,2255228,533775,21428,136777,5860427,3140061,2720366
5,2016,43280665,38126816,38953,0,2184274,52069,215333,137577,5114897,3057874,2057023
6,2016,43882420,38280699,39494,0,2335488,546735,217799,164330,5562227,3264352,2297875
7,2016,43315997,38557348,38984,0,2188865,570552,221455,144237,4719665,3125109,1594555
8,2016,43332233,39026446,38999,0,2187316,569244,224964,148248,4266788,3129772,1137015
9,2016,41474480,36578222,37327,0,2112479,474877,205076,134813,4858931,2927245,1931686
10,2016,42997292,38447555,38698,0,2191359,558344,224878,153320,4511040,3127901,1383138
11,2016,40660753,37233171,36595,0,2031922,509236,211884,140953,3390987,2893995,496992
12,2016,41764361,37691636,37588,0,2105378,510958,221571,154986,4035137,2992892,1042245
1,2017,41968400,35851942,37772,0,809446,877013,683190,964276,6078687,3333926,2744761
2,2017,39190617,34453494,35272,0,781468,837319,634431,535951,4701851,2789168,1912683
3,2017,43152585,37757896,38837,0,855770,912765,696982,581573,5355852,3047089,2308762
4,2017,41761883,36648584,37586,0,828216,878775,672762,557905,5075714,2937658,2138056
5,2017,45209704,39125825,40689,0,939305,995005,727706,627983,6043191,3289998,2753193
6,2017,45425194,40152364,40883,0,97989,1044542,733474,656076,5231948,3413981,1817966
7,2017,45383835,39262042,40845,0,946554,997846,728746,626040,6080947,3299187,2781760
8,2017,44864463,41735431,40378,0,924640,962258,718596,606241,3088654,3211734,-123081
9,2017,42998843,37352554,108699,0,879523,907578,690854,526373,5537590,3004329,2533261
10,2017,45549489,39852564,198046,0,960871,971130,727846,560364,5498879,3220211,2278668
11,2017,43323262,38877976,303706,0,898703,914661,692731,519142,4141580,3025236,1116344
12,2017,43657925,38987219,298997,0,883201,905395,700463,512598,4371709,3001656,1370053
1,2018,44210851,38606073,313299,0,547624,877561,713308,610105,5291478,2748598,2542880
2,2018,41193965,36420532,315081,0,528824,843088,664873,582537,4458352,2619322,1839029
3,2018,47129214,41472332,317569,0,625203,992718,758393,682128,5339314,3058443,2280871
4,2018,46662779,41178197,274685,0,633318,1007689,750964,688681,5209897,3080653,2129244
5,2018,48936082,42961751,297985,0,692232,1076353,789122,732005,5676346,3289712,2386634
6,2018,47138626,41926288,415700,0,662774,1014901,766619,709080,4796638,3153374,1643264
7,2018,48318178,42429920,357749,0,678105,1003949,781616,713624,5530510,3177294,2353216
8,2018,47840290,42177114,405337,0,664744,983864,773402,694561,5257839,3116571,2141268
9,2018,45707111,40660492,348354,0,627011,927562,738056,652128,4698266,2944756,1753509
10,2018,45970709,40990030,360486,0,613915,912919,744094,638998,4620193,2909926,1710267
11,2018,44952416,41958674,362487,0,606586,903512,728383,629706,2631255,2868187,-236932
12,2018,46721648,41899058,243073,0,634135,951858,757610,659965,4579517,3003568,1575949
1,2019,47677324,41962221,266564,7763,506051,1638484,775819,546585,5440776,3466939,1973838
2,2019,44131602,38845808,245717,7763,480023,1542550,715411,505045,5032314,3243030,1789284
3,2019,50656368,44798730,431707,7763,571277,1810760,818237,577713,5418168,3777987,1640181
4,2019,50153174,44318821,250581,7763,559263,1868651,814532,579824,5576009,3822270,1753739
5,2019,53067335,46891128,266698,24522,605573,2028539,862715,616924,5884987,4113751,1771236
6,2019,49634648,43785853,344866,7763,547757,1839668,809875,573739,5496166,3771039,1725127
7,2019,50682853,45090719,328167,7763,552717,1836024,822060,580500,5256204,3791301,1464904
8,2019,51483124,45412202,297147,18563,570073,1905278,836771,592605,5755212,3904727,1850486
9,2019,49077724,43892127,296158,7763,535532,1775744,794933,560631,4881676,3666840,1214836
10,2019,49323906,44236721,349745,7763,523470,1747455,802505,563140,4729676,3636571,1093106
11,2019,47578166,42600895,297403,7763,503301,1692394,776197,544969,4672104,3516861,1155243
12,2019,48124693,43278176,320925,7763,498321,1680055,786491,786491,550465,3515332,1002498
1,2020,50707128,44728074,421653,221775,439957,1458020,826019,623038,5335625,3347034,1988591
2,2020,47934205,41829765,351975,469855,430545,1426429,775705,594471,5282611,3227151,2055460
3,2020,56528981,46545152,354048,2061107,504521,1691586,887972,702703,7568674,3786780,3781894
4,2020,54657599,52542354,484962,951088,465268,1537614,879718,700655,679196,3583255,-2904059
5,2020,56826362,50030352,311636,1319968,480374,1596695,913622,732015,5164406,3722706,1441700
6,2020,53544630,48684262,372702,978615,449989,1445246,90214,677945,3509052,3475319,33732
7,2020,54487904,48637460,326025,1238486,463728,1443225,916383,685743,4285933,3509078,776855
8,2020,55886237,50749631,334053,1135539,489589,1530147,895807,710618,3667014,3626160,40854
9,2020,52918300,48205458,318300,937290,456475,1417132,893304,666400,3457253,3433310,23943
10,2020,54570964,49194985,389494,1128881,465835,1455617,921453,687291,3857604,3530195,327409
11,2020,52391873,47696079,533838,1319637,439566,1362277,879932,650997,2842320,3332771,-490452
12,2020,52554959,33802169,358138,1213907,429876,1348843,886704,654725,17180745,3320148,13860597
